id,kickoff_time,kickoff_time_formatted,team_h_score,team_a_score,was_home,round,total_points,value,transfers_balance,selected,transfers_in,transfers_out,loaned_in,loaned_out,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,errors_leading_to_goal_attempt,tackled,offside,target_missed,fouls,dribbles,element,fixture,opponent_team
1,2017-08-11T18:45:00Z,11 Aug 19:45,4,3,True,1,0,50,0,8964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9
512,2017-08-19T16:30:00Z,19 Aug 17:30,1,0,False,2,0,50,-1128,11030,195,1323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,15
1028,2017-08-27T15:00:00Z,27 Aug 16:00,4,0,False,3,0,50,-982,11243,106,1088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,10
1559,2017-09-09T14:00:00Z,09 Sep 15:00,3,0,True,4,0,49,-730,11534,155,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,2
2103,2017-09-17T12:30:00Z,17 Sep 13:30,0,0,False,5,0,49,-441,11566,75,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,5
2649,2017-09-25T19:00:00Z,25 Sep 20:00,2,0,True,6,0,49,-425,11539,147,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,19
3199,2017-10-01T11:00:00Z,01 Oct 12:00,2,0,True,7,0,49,-354,11534,119,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,68,3
3753,2017-10-14T16:30:00Z,14 Oct 17:30,2,1,False,8,0,49,-300,11589,138,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80,18
4310,2017-10-22T12:30:00Z,22 Oct 13:30,2,5,False,9,0,49,-202,11512,66,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,82,7
4869,2017-10-28T14:00:00Z,28 Oct 15:00,2,1,True,10,0,49,-530,11027,39,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,91,16
5432,2017-11-05T14:15:00Z,05 Nov 14:15,3,1,False,11,0,49,-312,10761,20,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,110,11
5998,2017-11-18T12:30:00Z,18 Nov 12:30,2,0,True,12,0,48,-243,10611,21,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111,17
2,2017-08-11T18:45:00Z,11 Aug 19:45,4,3,True,1,1,55,0,222249,0,0,0,0,90,0,0,0,3,0,0,0,0,0,0,0,9,12.2,0.0,0.0,1.2,0,0,0,0,4,0,1,0,20,16,0,0,0,0,0,0,0,0,0,2,1,9
513,2017-08-19T16:30:00Z,19 Aug 17:30,1,0,False,2,3,55,-12409,262457,4337,16746,0,0,90,0,0,0,1,0,0,0,0,0,3,0,14,25.8,0.0,0.0,2.6,0,0,0,1,7,0,0,0,18,16,0,0,0,0,0,0,0,0,0,2,16,15
1029,2017-08-27T15:00:00Z,27 Aug 16:00,4,0,False,3,2,55,-18456,261327,1931,20387,0,0,90,0,0,0,4,0,0,0,0,0,6,0,23,58.4,0.0,0.0,5.8,0,0,0,4,10,0,0,0,18,12,0,0,0,0,0,0,0,0,0,2,28,10
1560,2017-09-09T14:00:00Z,09 Sep 15:00,3,0,True,4,6,55,-14720,262836,5428,20148,0,0,90,0,0,1,0,0,0,0,0,0,2,0,25,19.6,0.0,0.0,2.0,0,0,0,0,6,0,0,0,32,16,0,0,0,0,0,0,0,0,1,2,31,2
2104,2017-09-17T12:30:00Z,17 Sep 13:30,0,0,False,5,10,55,-8113,262787,2010,10123,0,0,90,0,0,1,0,0,0,0,0,0,4,3,30,30.8,0.0,0.0,3.1,0,0,0,1,12,0,0,0,30,18,0,0,0,0,0,0,0,0,0,2,49,5
2650,2017-09-25T19:00:00Z,25 Sep 20:00,2,0,True,6,6,55,1650,275010,11369,9719,0,0,90,0,0,1,0,0,0,0,0,0,2,0,25,18.4,0.0,0.0,1.8,0,0,0,1,10,0,0,0,20,16,0,0,0,0,0,0,0,0,0,2,60,19
3200,2017-10-01T11:00:00Z,01 Oct 12:00,2,0,True,7,6,55,3690,287723,15096,11406,0,0,90,0,0,1,0,0,0,0,0,0,1,0,25,7.2,0.0,0.0,0.7,0,0,0,5,9,0,0,0,19,12,0,0,0,0,0,0,0,0,0,2,68,3
3754,2017-10-14T16:30:00Z,14 Oct 17:30,2,1,False,8,1,55,-1660,295997,8675,10335,0,0,90,0,0,0,2,0,0,0,0,0,1,0,11,7.4,0.0,0.0,0.7,0,0,0,1,10,0,0,0,27,12,0,0,0,0,0,0,0,0,0,2,80,18
4311,2017-10-22T12:30:00Z,22 Oct 13:30,2,5,False,9,1,55,-7705,291032,2101,9806,0,0,90,0,0,0,2,0,0,0,0,0,1,0,6,1.0,0.0,0.0,0.1,0,0,0,0,6,0,0,0,25,15,0,0,1,0,1,0,0,0,0,2,82,7
4870,2017-10-28T14:00:00Z,28 Oct 15:00,2,1,True,10,2,55,3778,298019,14263,10485,0,0,90,0,0,0,1,0,0,0,0,0,1,0,11,9.8,0.0,0.0,1.0,0,0,0,0,11,0,0,0,14,11,0,0,0,0,0,0,0,0,0,2,91,16
